text_translation,sentiment_scores,sentiment_label
@CarmenKleinegri @LeonNoorlander @rivm @nhgnieuws The info card @PharosKennis is also on: https://t.co/137lijGgB1. Like all other texts @Thuisarts that text can be read,0.3612,positive
"If after Corona still think globalization is a party you do not really pay attention. One more reason to manufacturing and food a lot more European, Dutch and create regional. And should the climate anyway.",0.65,positive
"Браво!

@VenkoFilipce дали е ова доволна причина за смена од работна позиција и дебела казна?

https://t.co/ovBUCB1S1b",0.0,neutral
RT @marcvanderwoude Wuhan's been 48 days in quarantine now. I read through the messages from one of my contacts there. She's been wekenlan ...,0.0,neutral
@ Chipwreck1 @verzet_nieuw Disinfection kills bacteria. Corona is a virus.,-0.5423,negative
Coronavirus causes drastic measures: primary school in Geldrop week close https://t.co/T1liAuBQCe,0.0,neutral
"RT @ldeangelisphys: Accounting for the different number of Inhabitants and shifting by 9 days, the number of confirmed cases or #COVID ー 19 ...",0.1531,positive
"Meanwhile, beat the British hoarding. https://t.co/ac47n9clUg https://t.co/MrBq7VDobg",0.0,neutral
RT @marcvanderwoude Wuhan's been 48 days in quarantine now. I read through the messages from one of my contacts there. She's been wekenlan ...,0.0,neutral
"RT @YousayLeia: 其實 Mugi 除 咗 圍爐 之外 仲 譯 咗 同 share 咗 好多 野, 呢 個 就 係 最 身體力行 嘅 表現 .click 媒體 就 見 得到.
https://t.co/9F4nUbZcko
喺 氷 見 江 未 出 呢 串 thread 之前, 我 相信 大家 都 有目共睹.
如果 你 真 係 想 指控 Mugi 分化, 麻煩 比 ...",0.296,positive
"Huh, what do those agents with a face mask as street?
Is not a medical staff? Then such a cap does not yet ?!

#coronanederland
#hadzeinjanuariealinhuis

Six killed in prison riots Italy measures coronavirus https://t.co/LQFU5R9YAa via @NOS",-0.9175,negative
"Read ""Six killed in prison riots Italy measures coronavirus"" New Look - https://t.co/cv3yLlIF0Q - In Italy, in an uprising in a prison in Modena six people were killed. In another riot in a prison in ...",-0.9794,negative
"High school teacher infected. Ten other teachers precaution home. They feel sick. This spreads like a malle😫

#Coronanederland #CoronavirusNederland #CoronavirusNL # Covid19NL
https://t.co/qJIiBhh3Sc",-0.6124,negative
"RT @DeBoomkwekerij ""Trucks are not easy to come by corona 'https://t.co/szYr2yQqvn",-0.3412,negative
"RT @ lewinskylou2: Suppose that in the Netherlands 1000 people were infected with corona on February 27, the following RIVM figures give all ...",-0.4939,negative
RT @RTLnieuws: Brabantse school classes can not come to the House regarding the corona virus. Read our live blog ...,0.0,neutral
"RT @jaspervankuijk: Just one question, who here has no sense of the coronavirus?",-0.296,negative
"RT @jaspervankuijk: Just one question, who here has no sense of the coronavirus?",-0.296,negative
"Did not like the scare, but it seems to me just nonsense .. https://t.co/09jtKuy25Z",-0.5091,negative
RT @johncrombez A simple question can not be sure that one million tonnes #aardappelen divided the government in times of crisis ...,-0.7237,negative
"RT @mireillemoret: ""A large group of European scientists (some of which, confusingly, also part of the aforementioned ...",-0.34,negative
RT @ADPolitiek: The peak in ICU patients is corona in the last week of April expected and seems like it is now ...,0.3612,positive
"WhatsApp inhibits forwarding messages. It sounds heavy, but the measures have to do with the extra privacy measures i.v.m. COVID-19. This allows the forwarding behavior of users is restricted. https://t.co/156WELSiUS https://t.co/zT8usQ7iPJ",-0.5927,negative
"RT @VrijLinks: How much freedom, privacy rights and we are willing to give up? Especially in the heat of the crisis, we have to think over ...",0.0258,neutral
"RT @veerleslegers: If there is one piece that you read the next few days ... Routing, as a violent apocalyptic disaster. Coron ...",-0.9246,negative
"RT @HerdadeFozdaRep: #HFRresort - Exploring #Alentejo: A # Window into Portugal's #Jewish Past

https://t.co/UhQDXGpftq

#Portugal # StayAtHo ...",0.0,neutral
"For me this should be the end of the EU and return to the EEC. Can I back on 65 retired.
Consultation on European bailout corona crisis postponed until Thursday https://t.co/RVQq6X7Yyx (via @NUnl)",-0.743,negative
"Corona has taught me that society better interact with each other than the politicians at the moment.

Each trying to finish is easier than help effective solutions.",0.9042,positive
"RT @VNOGregio: The coronavirus causes many questions, including the consequences for healthcare in the Netherlands. On https://t.co/PxLZYH5Vt8 k ...",0.0,neutral
The Jewish care center Beth Shalom in Amsterdam-Buitenveldert are mercilessly hit hard by the corona virus: now already 15 residents died https://t.co/7k2GAtiI8G,-0.2023,negative
The Jewish care center Beth Shalom in Amsterdam-Buitenveldert are mercilessly hit hard by the corona virus: now already 15 residents died https://t.co/7k2GAtiI8G,-0.2023,negative
"@JoostNiemoller There are a lot of ignorant, unintelligible
Medelanders unfortunately.
Why Intelligence Lockdown?",-0.1027,negative
RT @astroehlein: Do the Authorities in Russia not understand parody?,0.0,neutral
"RT @Henkey: WhatsApp inhibits transmission of messages. It sounds heavy, but the measures have to do with the extra privacymaatr ...",-0.1154,negative
RT @thierrybaudet: FVD launches: plan intelligently kickstart and controlled exit strategy #corona #kickstart https://t.co/P9peaz5Opp vi ...,0.4588,positive
"RT @ NPORadio1: Ab Osterhaus is gloomy about the RIVM figures. A second wave and a new lockdown are real, he thinks. He was a guest in ...",-0.1531,negative
"RT @ NPORadio1: Ab Osterhaus is gloomy about the RIVM figures. A second wave and a new lockdown are real, he thinks. He was a guest in ...",-0.1531,negative
"RT @marijnfietst Must be some light at chuckled? Or is not allowed?
Hope that the best man will just get better nat ...",0.8049,positive
"RT @jorisvanhoboken: Government press conference in the Netherlands on Corona measures. Announcement of contact tracing app How many followers ""will hav ...",0.0,neutral
Go Bess Fraan 🔥🔥 https://t.co/Tsbtq8dohI,0.0,neutral
Go Bess Fraan 🔥🔥 https://t.co/Tsbtq8dohI,0.0,neutral
"RT @ ragnasun8: Trump Admits coronavirus will 'probably, unfortunately ""get worse before it gets better https://t.co/Nmc9H6ZL4i",-0.1027,negative
"# # PS # FrédéricDaerden gave PaulMagnette ultimate argument to convince internal opponents to deal with #NVA sea: EMERGENCY MONEY. Federal comes less in money by #corona, thus is # Wallonia 1 billion less. Is that the sudden change of course?",-0.5904,negative
"Rector @UGent DM: politicians are not only afraid of # COVID19 virus, but also the #burger. Therefore, they dare not admit that they change their minds and that is just important to be #geloofwaardig. Nail on the head. And we did not learn: Who is afraid, krigt succeed?",0.682,positive
"RT @FTM_nl Analysis | Governments often do not realize how important constraint in the fight against pandemics

""That opt-out was already a silly ...",-0.4753,negative
"RT @superjan How disgusting is that the government in times of (breathing) distress, insidiously farmers, we need hard, the noose str ...",-0.802,negative
"RT @iowahawkblog: Fun fact: China ook never reported a single death at Tiananmen Square
https://t.co/dUmNbaW5P5",0.754,positive
"RT @ stonecold2050: Here are the richest pastors in America:

Kenneth Copeland $ 760M
Pat Robertson $ 100M
Benny Hinn $ 60M
Joel Osteen $ 40M
Cr ...",0.5267,positive
RT @thierrybaudet: Netherlands lies still and parliament still meets only about Corona. But Minister Schouten (CU) performs fast omstrede ...,-0.2263,negative
RT @florian_krammer: 1) There is a lot of talk about decaying antibodies. I would like to walk you through a few findings about antibodies ...,-0.0516,negative
@Hugodejonge is still on holiday? Something corona.,0.4019,positive
"Largest group infected Dutch between 20-40 years. If we continue, by pressed to find housemates still give hug number of infections will rise faster RIVM says we must not end up in a second wave https://t.co/ZfoJfA1UF1 https://t.co/9XYYQwzyG0",0.0516,positive
@Sandravogelaar RT: What do you call people who actually seriously that paper believes #coronavirus devil but printed newspapers full of p ...,-0.4678,negative
An open source app from Singapore seems so far the best candidate for the tracking app that the government proposes to introduce the corona epidemic card. https://t.co/d1xQwCe4d0,0.6666,positive
"@JoelVoordewind RT: Well if the EU does not only think of southern Europe, but also comes with a Corona emergency fund for prevention and assistance on ...",-0.431,negative
But go hi lo. https://t.co/SAQ5bVNS3r,0.0,neutral
@BartDeMeulenaer RT: Let's not forget that the chief executive will be Sciensano was already proud to know the virus when Trump to ...,0.5812,positive
RT @PharosKennis: New: 80 difficult words on the coronavirus explained in simple language. The words come from language ambassadors. The…,-0.3612,negative
"RT @ifindkarma: ""It took 70 days for President * Trump to treat coronavirus not as a distant threat or harmless flu strain well under contro ...",0.6981,positive
"RT @MarcelVervaeck: Each time about #bejaarde #corona deaths reported is #wrang I'm feeling that one is,
- to have…",0.128,positive
RT @thierrybaudet: Netherlands lies still and parliament still meets only about Corona. But Minister Schouten (CU) performs fast omstrede ...,-0.2263,negative
"RT @VrijLinks: How much freedom, privacy rights and we are willing to give up? Especially in the heat of the crisis, we have to think over ...",0.0258,neutral
"RT @JohndeleeuwJohn: Politicians, the number of deaths by #corona not count! What they can count well, the plurality of bet is ...",0.4003,positive
RT @Reuters: Largest super moon or 2020 rises on a world battling COVID-19 https://t.co/fiMcdAKC9V https://t.co/aNqfZXM21Y,0.4215,positive
RT @Reuters: Largest super moon or 2020 rises on a world battling COVID-19 https://t.co/fiMcdAKC9V https://t.co/aNqfZXM21Y,0.4215,positive
"RT @mauricedehond: Parties and nightclubs in Spain, which were poorly ventilated.

https://t.co/Kdu3X5OsS0",0.4019,positive
@ancapoen Who am I speaking to you from. Anything conscience or combination covid-19 with flu is still a deadly combination?,-0.3818,negative
"RT @MariaTCardona: A conspiracy theory-toting, fact less, lie-spewing wonder she is! Of course she would get this job - Incoming White House ...",-0.5707,negative
RT @MinVWS: At this time it is often about the many health care professionals who are wholeheartedly committed to everyone the best possible care ...,0.9136,positive
RT @RedGelderland: @MinVWS And not fly! The #luchtvaart was responsible for the super-fast global spread of #corona e ...,0.3802,positive
"Again, the figures rise: now average 184 new infections with coronavirus per day in Belgium https://t.co/jqME1SEMSA https://t.co/4CcqoYctOm",0.0,neutral
"Reality !!
#artez graduation, June 2019
.
.
.
.
#lockdown #facemask #staysafe #mask #fashion #ig_discover_holland #leica #leicaphotography #amsterdamphotographer lumixg9 # # # leica50200mm #students fahiondesigner ... https://t.co/tiewULy8Pi",0.0,neutral
RT @republikaonline: #Nasional China saat ini dari memiliki Delapan 19 kandidat vaksin Covid 19-yang diujicobakan kepada manusia. #Vaksin # ...,0.0,neutral
RT @thierrybaudet: Thanks! Now along the shoulders to the wheel and the lockdown - as soon as it can - convert to a lock-in. #Exitstrategie #FVD ht ...,0.4926,positive
Ameen https://t.co/XfZWA65kyg,0.0,neutral
RT @thierrybaudet: Netherlands lies still and parliament still meets only about Corona. But Minister Schouten (CU) performs fast omstrede ...,-0.2263,negative
RT @GezondLevenNL: People #roken have a greater chance to get #corona and more likely to become seriously ill. How do you just ...,0.0,neutral
"@realDonaldTrump You're so full of yourself. Compared to other countries, you're doing a terrible job. Most countries are now dealing quite well with the 'Corona' virus.

Stop spreading fake news yourself and deal with the factthat you've been sucking at it from the start of this virus outbreak",-0.719,negative
Why did you do not care when you were in government? https://t.co/istyWlS6eC,-0.3875,negative
"RT @Rob_Roos: #Macron: ""It is not the French taxpayer the European recovery 'will' pay."" and
""This is the project which d ...",0.0,neutral
Very fine last night support for entrepreneurs has been extended because of coronavirus. Remains the key question: what businesses or organizations are affected and are not yet covered by the SBI codes? #sbicode https://t.co/yRhqXORJAJ,0.4927,positive
@dwrhnrs Ya mana ada yg mau nanggun risk rugi sih Pak? Yg di-highlight adalah kredibilitas si Jouska ini than usahanya yg selalu menggaung2kan orang2 harus berinvestasi. Jadi menarik Ketika bisniskan itu mereka. Then Testi si pelapor ini bahkan mengalami kerugian sebelum Covid.,-0.2732,negative
RT @kussjessss: There should really have come as a dramatic press conference because people really do just as they like no deadly ...,0.0772,positive
"RT @EWdeVlieger: You can it say what you want about @thierrybaudet just about had #coronavirus right, he is right and he will be right ...",0.0772,positive
"But as we all serve the totalitarian state, we do not really something more, says Kees political sock puppet. https://t.co/niKdlAsI19",-0.631,negative
RT @KellzBellzzah: Wtf the Kennedy Center was going under with CORONA out the money. WTF? And after it got the 25 mill this lady says THATS ...,-0.8531,negative
"""Global #economie over heels in debt eve #coronacrisis.
Debt mountain in the world increased to $ 255.000 billion, 1 / 3rd more than that the global economy in 2008 started the credit crunch. ""@FD_Nieuws
#coronavirus
https://t.co/DvjPXCsGXJ",-0.0772,negative
The German finance minister has apparently enough of 'some' the inflexibility. Latest news indeed that they break up and go tomorrow ... https://t.co/eoFFXelRzU,0.0,neutral
RT @keawijkstra: Corona apps on Android give location to Google. https://t.co/ICx6RE18jZ,0.0,neutral
"Anyone ever heard of Devside, the company that will make the corona app? #dtv",0.0,neutral
"@OscarLamme @Nieuwsuur She speaks especially Lockdown main measure. , We know that it has a high cost for society

She hopes (!) Countries that do not Lockdown now had less affected because they now have herd immunity.

But, look at America",0.259,positive
@JoukedeVries This is really great !!! A wonderful example in Corona time. Beppe Hup!,0.8891,positive
"@RobinWaci @Westerns_R_Best @ Jamie4Britain @jenniferatntd Robin, no need to invite them and probably They can not afford to travel to China ....

Why not enjoy the Wuhan light show!

https://t.co/knhZXGUE0b",-0.5454,negative
"RT @ HarryPater62: The #Corona infection rate increased from 0.6% to 1%

@nos Reporter #GerriEickhof explains.
""Were at 1000 me ...",0.2732,positive
"RT @gekenhorst: Two weeks in isolation. What then?

Observations from quarantine #Quito

Read Part 2 - ""The city at your feet

https: //t....",-0.4019,negative
"RT @gekenhorst: Two weeks in isolation. What then?

Observations from quarantine #Quito

Read Part 2 - ""The city at your feet

https: //t....",-0.4019,negative
"RT @okezonenews: Lavan COVID-19, Foxconn Bikin Fan dengan Medtronic #TauCepatTanpaBatas #Techno #Tekno #BeritaTekno #tech. https: // ...",0.3182,positive
"excellent example of the effectiveness wearing a face mask # covid19
https://t.co/9ynFNzsFoG https://t.co/MI8IyRux7d",0.5719,positive
"""Stefano has both the lockdown as the restart of the league managed very well where he exercised a positive influence on the team."" Https://t.co/7DJeWTA1zZ",0.7178,positive
"""Stefano has both the lockdown as the restart of the league managed very well where he exercised a positive influence on the team."" Https://t.co/7DJeWTA1zZ",0.7178,positive
"""Stefano has both the lockdown as the restart of the league managed very well where he exercised a positive influence on the team."" Https://t.co/N2IV10JGgo",0.7178,positive
"""Stefano has both the lockdown as the restart of the league managed very well where he exercised a positive influence on the team."" Https://t.co/N2IV10JGgo",0.7178,positive
The real question is why the WHO has not ACTED on this before? https://t.co/Zmx79TCVtO,0.0,neutral
"RT @JoeBiden: For your family, for your neighbors, for your country - wear a mask.",0.0,neutral
"👏 A special edition of #WallpaperWednesday today for all workers and anyone dedicated to others.

💛💙 You are our heroes of care!

#StayAtHome #StaySafe #WashYourHands https://t.co/mgBVKAIzsI",0.9098,positive
Seems logical to me as an example for the rest ... https://t.co/BUDCZU0t4W,0.0,neutral
"#Flattening the Curve or # COVID-19 with Remote Healthcare

#Telehealth # CombatCOVID19 #HealthcareIndustry #healthcareITsolutions #Healthcaretechnology

https://t.co/4lqZijueyY https://t.co/ueSE8JiRq3",0.0,neutral
"RT @MDiependaele: Cutting @jshln in @HLN_BE:

""The national unity which they run so high today, the Magnettes the Bouchez and Noll ...",-0.128,negative
RT @johncrombez A simple question can not be sure that one million tonnes #aardappelen divided the government in times of crisis ...,-0.7237,negative
"Fitch lowers Senior Unsecured Debt rating of BBB- #ArcelorMittal No BB +, with negative outlook. Expect the economic fallout of covid-19 will extend until 2021, with pressure on steel consumers (cars & amp; construction) result. Steel prices may fall in 2020 https://t.co/5hGeHs5lHZ",-0.9001,negative
That app from the government ... because of Corona? Only when he's open source! Put it myself on the App Store or Play Ground. Thank you.,0.636,positive
"@mauricedehond @ JeroenGr87 That is not correct. The uncertainty may indeed fluctuate more - hence the disclaimer at R & gt; 1 to watch the band.

The entire bandwidth is say above 1, the latest version of the Corona dashboard. https://t.co/qqJ1iYqms4",0.4829,positive
RT @PrinsesChrissie: Severe ?! Really Gordon 🤦🏼♀️ Gadverdamme bah! Shame on you broke! #aandachtshoer #quarantaine COVID19 # # coronavirusNederla ...,-0.8547,negative
"RT @marjocorn: Buurvrouw operates with 6 severely limited mentally handicapped people.
Since Friday, there are three infected # COVID19. That is *…",-0.7964,negative
RT @Reuters: Nissan's China sales drop 44.9% in March due to virus https://t.co/oc7HjYeJfk https://t.co/qmU951XSPJ,-0.2732,negative
"RT @TSimonts: Wall Street (-0.2%) lost steam, while Japan (+ 2.2%) and China (-0.5%) went up different sides. USD strengthened slightly (€ 1 = $ ...",0.128,positive
"RT @TSimonts: Wall Street (-0.2%) lost steam, while Japan (+ 2.2%) and China (-0.5%) went up different sides. USD strengthened slightly (€ 1 = $ ...",0.128,positive
RT @veerleslegers: Dijsselbloem's legacy,0.0,neutral
"@ H0mez1 And if you can not find the space in your heart to Act On Their out the sake of solidarity for the humanitarian aspect, there is ook a medical reason to evacuate people thesis. Doctors say it is dangerous for EVERYONE to have high concentration outbreaks. Social distancing is needed.",-0.2263,negative
"@ H0mez1 And if you can not find the space in your heart to Act On Their out the sake of solidarity for the humanitarian aspect, there is ook a medical reason to evacuate people thesis. Doctors say it is dangerous for EVERYONE to have high concentration outbreaks. Social distancing is needed.",-0.2263,negative
"@Kombelpeter RT: I do not normally like to rage tweeting, but I posit anyway a question to the people who have made it h ...",-0.432,negative
"@IENouwen RT: What a talker.
PS had no coronavirus need of Wallonia to an economic graveyard. https://t.co/5V4as2faYO",-0.5267,negative
"RT @ecotvpanama ""Los rebrotes of a ocurrir hasta que haya vacuna ... no es momento ... culpables the buscar el enemigo es el # Covid19 y todos ...",-0.296,negative
RT @frederiekweeda: Jan Bakker works in two hospitals in New York. A hospital with predominantly wealthy patients and a poor pat ...,-0.1531,negative
RT @frederiekweeda: Jan Bakker works in two hospitals in New York. A hospital with predominantly wealthy patients and a poor pat ...,-0.1531,negative
@andriussste @Brettshow @montana_skeptic @evdefender My car fossil fuel used ~ 1 gallon of fuel the last 30 days. Because I #StayAtHome,0.0,neutral
"RT @EricTopol: Today 21 doctors and scientists in Sweden wrote an oped about pandemic Their approach to say ""Do not do what we did ... It's not.",0.0,neutral
"RT @Blyaert: Anyone ever heard of Devside, the company that will make the corona app? #dtv",0.0,neutral
"Bring on the Corona app.

Yes, privacy is important, but seriously: using Twitter, Facebook, Whatsapp, Google and the like apps / services are already everywhere your data anyway. Now comes a real recovery and everyone goes running Miepen about privacy concerns?",0.5346,positive
"@ NLzorg1 @HagaZiekenhuis https://t.co/fQ8VlzAZXo
The EPD maker offers video calling also temporarily for free. Definitely a good idea to go here so internally back.",0.836,positive
"RT @Percolator_HNJ: Fixed subjects v / h @NOS journal, every day:
🔴 number # coronavirus infections worldwide
🔴 how enormously # racistisc ...",0.0772,positive
@FrankJuliaan Emprise2 @ Had been to the corona party at her coffeehouse Rutten,0.4019,positive
RT @TijsvandenBrink: Mega interesting podcast. For believers and religion haters.,-0.128,negative
"RT @ARakhorst: Yesterday I was told as a juror in @TheGreenQuest. Listen to the broadcast, with packets collector @ViaTimNL in the head ...",0.0,neutral
"So far we seemed shorter than sit the 17 delay ...

In 2375 had killed about 30,000 deaths italy ... Are we finally train from italy? Almost ... we have 10,000 fewer infections.

We must now slow, now we become one tie with lockdown in italy ...",-0.7783,negative
"RT @ben_rosen: ""the government has no business making me wear a mask"" I say before I buckle my seatbelt, drive the speed limit to a restaurant ...",-0.296,negative
"RT @MinVWS: The increase in the number of infections requires vigilance.

Do you therefore to the basic rules:

Keep ✅ 1.5 meters
✅ ...",0.3818,positive
RT @ Moorkopje2: And I want to know. What is really corona. Is it a virus? Is it a poison? Is a disease caused by 5G Radiation ...,-0.5514,negative
RT @Defensie: Defense and @UMCUtrecht put the IC capacity of the Emergency Hospital for the care of # COVID19 patients. Spacious…,0.2732,positive
"RT @Rob_Roos: #Macron: ""It is not the French taxpayer the European recovery 'will' pay."" and
""This is the project which d ...",0.0,neutral
RT @LibsInAmerica: @realDonaldTrump This lady listened to you and Fox and now she's dead from Covid-19. https://t.co/oJU4rafYEK,-0.6486,negative
@johncrombez Apart from the question of how to organize ... Especially in Corona times ... Farmers are then competed by their own potatoes ... How can it help them?,0.4019,positive
At regional lockdown Hillegom possibly part Kennemerland concerned 'https://t.co/m5vIL3Ezuk,0.0,neutral
"RT @MinisterieEZK: The government has taken additional measures today to support entrepreneurs.

Read more ⤵️

https://t.co/Y...",0.4019,positive
HOW TO KEEP DIGITAL TRANSFORMATION ON TRACK AFTER THE PANDEMIC - https://t.co/OmT7ba0ZKM,0.0,neutral
"RT @nicodefauw: Care & amp; Welfare after COVID-19: More than a challenge!
Wanted 25 executives & amp; Innovation managers with @ In4Care vor ...",0.7698,positive
"RT @MerlotVine: Schandalig.
And the gentleman says to one of the highest death rates due covid-19 in the world as a ""result"" the ...",-0.5994,negative
Apply in 2020 @trouw #pandemie https://t.co/nyoNfHPXg0,0.0,neutral
RT @HannoPijl: The government encourages healthy living to protect against Covid! The white paper @ lifestyle4health has stuck to that bi ...,0.7574,positive
"@BowineMichel RT: I can not imagine any scenario where it is medically safe to bring 18,000 people together for a musi ...",0.4404,positive
"@BowineMichel RT: I can not imagine any scenario where it is medically safe to bring 18,000 people together for a musi ...",0.4404,positive
"Jenaplan in times of corona

https://t.co/4BVXkIbmza",0.0,neutral
Green Deal it more operational by new European Recovery Fund 'https://t.co/YAJ0WuIxHy via @duurzaamBV,0.0,neutral
RT @drphilhammond: He would be more usefull then Readily accountable for how ill-prepared the NHS and social care system was for the pandemic ...,0.4939,positive
"""Social deprivation leads to social revaluation. Also embraced phenomenon we seemed to be forgotten ""Blog - Architecture after corona: the subtle art of remembrance https://t.co/edDx3nL0ee",-0.5719,negative
An app to install mandatory corona is difficult. Good government is exploring all options. Pity @hugodejonge the app as a piece of red meat thrown into the lion's cage. Difficult to reconcile with duty of transparency and privacy by design. https://t.co/7u7QkH0JWW,-0.4588,negative
An app to install mandatory corona is difficult. Good government is exploring all options. Pity @hugodejonge the app as a piece of red meat thrown into the lion's cage. Difficult to reconcile with duty of transparency and privacy by design. https://t.co/7u7QkH0JWW,-0.4588,negative
pressure for Chinese NPI producers https://t.co/2gruJD7gQp,-0.296,negative
"Our weekly selection is out: ""Disasters and Covid-19 as social and political phenomena"" with Contributions by: @EwelinaUO @sal_tra @ Jessalex811 @DeganAli @HeadUNDRR @_LouisaBrain @lhammondsoas @emrys_s and from @NoNatDisasters @ISS_Blog @PreventionWeb - https: / /t.co/7kBQd6xQNv https://t.co/bQv9ehxPiL",-0.5574,negative
"RT @janrotmans: We must work towards a cooperative society, and that was long before reaching the corona crisis, says Gabriel of the Br ...",-0.5106,negative
"Rutte no new action corona, but continue after April 28 real - National Care Guide https://t.co/kxbk9ip5Ew # Covid19NL #coronaNederland #coronamaatregelen",0.5719,positive
RT @lbergkamp: US stops funding from WHO for failure COVID-19 epidemic and started investigation.,-0.5994,negative
"""When the president chastises the press for doing its job, he's not addressing the myriad ways he is failing to do his own."" https://t.co/Bdds8gFKyW via @BostonGlobe",-0.7184,negative
"And here the PVV of Wilders last month entered into a partnership with. Netherlands, which must happen before your eyes open and (to) see there is a group in our midst danger going to run? https://t.co/hfJvhMHs04",-0.5267,negative
Jaja get fuck https://t.co/ezgIvzkodt,-0.5423,negative
"The Simpsons 1993:
Nowadays:

#Coronavirus https://t.co/SYwRqyEbm9",0.0,neutral
"Concerns about Chinese imports, ""But Peking duck just comes out Drenthe. https://t.co/u0UrSvZZf5 #FD #Handel",0.0,neutral
"RT @ArjenLittooij: The Executive Council: Fire 8 wounded preparations Coronavirus, migration C2000 new occupational and bedrijfma ...",-0.34,negative
"Hong Kong Grand Prix canceled due coronavirus, Schröder showing concept https://t.co/TqEb0J2pHs",0.4588,positive
"@Veldhorst__W That is the parallel that can be drawn with Make America Great Again The economy is growing by tax money and the press in full effect. Government debt is increasing, and China does not buy more dollars. Who knows may say.",0.5106,positive
@Askimono RT: With the day still dizzying figures. Another record number of deaths in Hubei in one night: 65 and record infections ...,0.0772,positive
@Askimono RT: @ marcelvink888 The economic impact of the #coronavirus will be easy for NL is now the estimate. Drenthe Peking duck i ...,0.4404,positive
Israel closes 90 schools again for fear of new coronavirus outbreak | NOS https://t.co/4CY54s4o0u,-0.4939,negative
RT @ dekoran1: What is true and not true about the coronavirus https://t.co/V2V2OHcmnB @ BLIKOPENER3331,0.6808,positive
RT @vanranstmarc: A very good video of the World Health Organization about the new coronavirus. https://t.co/ri19SCYDFZ,0.4927,positive
RT @DeSpeld: Coronavirus will supply unnecessary junk in danger - Big deficits threaten https://t.co/6UlIVJpQKD,-0.7184,negative
@CLaBash RT: @ @yourrightscamp ChuckModi1 A Cuban made interferon alpha2b protected healthcare workers in Wuhan and of course in Cuba (only ...,0.4404,positive
"RT @ 247BZ: On the cruise ship that Japan is in quarantine, 3 Dutch. The embassy will help where possible and close contac ...",0.4019,positive
"@ Mg5912 @richardrhh say that somewhere? Between understanding emotion, blocking her way, also imposed by the government. China arrests without any respiratory protection mask, ""these are maintaining citizens"". The tension is rising and they want to blockade and starts with t real violence, nml kick. It is legal ""error",-0.9201,negative
"You are just a disobedient child, and if you do not want to listen then there'll be trouble ...! That fill the Dutch treasury and I are elected democratically by you makes no difference! https://t.co/gKBKpzLX40",-0.6002,negative
"You are just a disobedient child, and if you do not want to listen then there'll be trouble ...! That fill the Dutch treasury and I are elected democratically by you makes no difference! https://t.co/gKBKpzLX40",-0.6002,negative
"Anyone who so welcomed on the performance of China to build a hospital for 10 days, must consider information about the state of the Chinese health ( ""overloaded, ineffective, expensive and chaotic""). This is a good start: https://t.co/LRXFrHYbBh",0.6722,positive
"Anyone who so welcomed on the performance of China to build a hospital for 10 days, must consider information about the state of the Chinese health ( ""overloaded, ineffective, expensive and chaotic""). This is a good start: https://t.co/LRXFrHYbBh",0.6722,positive
"@SophietjeA RT: We're not all going deaud .. 😳

""Coronavirus not as dangerous' https://t.co/1p698Jv2l9 via @telegraaf",0.3724,positive
